uniqueID,Sex,Age,Education,Income
0,0,9,4,3
1,0,7,6,1
2,0,9,4,8
3,0,11,3,6
4,0,11,5,4
5,1,10,6,8
6,0,9,6,7
7,0,11,4,4
8,0,9,5,1
9,1,8,4,3
10,1,13,6,8
11,0,10,5,1
12,0,7,5,7
13,0,11,4,6
14,0,4,6,2
15,0,6,6,8
16,0,10,4,3
17,1,7,5,6
18,0,2,6,7
19,1,4,6,8
20,0,12,4,4
21,0,13,2,3
22,1,5,5,5
23,0,13,5,4
24,0,9,4,6
25,0,5,6,8
26,1,10,6,5
27,1,12,2,4
28,0,8,4,7
29,1,12,6,8
30,0,9,5,4
31,1,13,3,3
32,0,6,4,8
33,1,11,6,2
34,0,12,3,3
35,0,9,4,4
36,1,8,4,3
37,0,12,5,7
38,1,4,5,3
39,1,9,3,1
40,0,4,6,7
41,0,13,4,4
42,0,7,4,3
43,0,9,6,8
44,0,8,5,8
45,0,8,6,3
46,0,7,5,2
47,1,10,4,7
48,1,10,5,6
49,0,11,4,2
50,0,9,4,1
51,0,7,3,3
52,0,10,4,5
53,0,10,5,6
54,0,4,6,8
55,1,11,6,8
56,0,6,6,8
57,0,10,6,8
58,1,11,6,6
59,0,7,4,5
60,0,11,4,4
61,0,11,4,2
62,0,9,6,5
63,0,7,5,8
64,0,10,4,3
65,1,11,5,6
66,1,8,5,7
67,0,13,4,4
68,0,10,3,2
69,0,7,5,3
70,1,12,5,5
71,1,7,6,8
72,0,7,4,3
73,0,7,5,7
74,1,1,5,4
75,1,6,5,6
76,1,8,5,8
77,0,12,6,2
78,1,11,6,3
79,1,8,4,8
80,1,7,6,8
81,1,7,4,7
82,1,13,4,4
83,0,13,2,2
84,0,10,4,7
85,0,9,6,8
86,0,1,5,8
87,1,8,4,8
88,1,5,6,8
89,1,13,5,6
90,0,10,5,8
91,0,3,6,8
92,1,11,5,7
93,0,11,5,2
94,0,5,6,7
95,0,9,2,3
96,0,3,5,3
97,0,9,4,6
98,0,11,4,3
99,0,7,4,8
100,0,9,6,8
101,1,12,6,5
102,1,9,6,6
103,1,9,6,7
104,0,6,6,2
105,0,10,6,6
106,0,8,5,2
107,1,7,4,5
108,0,10,6,7
109,0,7,5,3
110,0,4,5,6
111,0,13,6,4
112,1,9,4,6
113,1,8,6,8
114,0,8,6,6
115,1,3,5,6
116,0,11,6,7
117,1,6,4,7
118,0,7,5,7
119,1,7,6,6
120,0,7,6,8
121,0,7,6,7
122,0,10,4,4
123,1,10,4,8
124,1,5,5,7
125,0,6,3,7
126,1,12,5,5
127,1,7,4,4
128,0,7,4,8
129,1,13,4,3
130,1,4,4,8
131,0,8,5,6
132,0,11,4,2
133,0,8,3,4
134,0,12,6,8
135,0,11,4,5
136,0,10,6,8
137,1,12,4,6
138,1,5,6,8
139,0,9,5,7
140,1,1,3,3
141,0,9,4,2
142,0,11,4,8
143,0,8,6,5
144,1,8,5,8
145,0,12,3,1
146,1,9,3,3
147,0,7,5,6
148,0,11,4,4
149,1,12,4,6
150,0,8,4,7
151,1,12,4,6
152,0,12,5,4
153,0,8,5,6
154,0,10,5,6
155,1,5,6,8
156,0,11,6,5
157,0,13,4,8
158,0,9,6,5
159,0,8,6,4
160,1,10,3,5
161,0,9,4,8
162,1,8,6,8
163,0,8,4,8
164,1,11,4,4
165,0,10,5,6
166,0,8,5,4
167,0,10,6,7
168,0,8,6,7
169,1,12,5,6
170,1,10,5,6
171,0,12,5,3
172,0,7,6,8
173,0,7,5,5
174,0,10,5,2
175,1,4,5,5
176,1,10,5,8
177,0,13,6,7
178,1,8,5,6
179,1,7,5,7
180,0,7,6,8
181,0,13,4,3
182,1,5,6,8
183,1,11,4,5
184,1,9,4,6
185,0,8,6,8
186,1,7,6,8
187,1,8,4,6
188,0,10,5,2
189,0,9,6,8
190,1,9,2,5
191,1,9,6,7
192,1,10,5,5
193,0,7,4,8
194,0,11,6,5
195,0,9,6,7
196,0,12,4,7
197,0,12,4,4
198,0,8,5,8
199,0,6,6,8
200,0,6,6,8
201,0,11,5,2
202,0,7,6,8
203,0,9,6,6
204,0,7,6,8
205,0,12,5,4
206,1,13,6,6
207,1,6,6,8
208,0,13,4,3
209,1,7,5,8
210,0,9,5,6
211,0,6,6,7
212,1,10,5,6
213,0,4,4,1
214,0,8,3,4
215,0,6,6,7
216,1,8,4,7
217,0,12,4,1
218,1,9,4,1
219,0,10,5,4
220,0,2,4,5
221,0,8,4,7
222,0,12,6,6
223,1,8,5,8
224,0,6,6,7
225,0,5,5,8
226,1,12,5,4
227,1,10,6,8
228,1,10,6,8
229,0,12,6,4
230,0,7,5,2
231,0,6,5,8
232,0,11,6,7
233,0,8,5,6
234,1,9,6,8
235,1,8,5,6
236,0,12,6,6
237,1,12,6,7
238,1,8,4,8
239,1,11,6,8
240,1,11,6,6
241,1,10,5,8
242,1,13,4,6
243,1,6,5,7
244,1,12,4,8
245,0,7,5,6
